solver_item_id,solver_subset,solver_difficulty_centered,judge_difficulty_centered,kudge_split,solver_difficulty_percentile,judge_difficulty_percentile
115,Korean-Easy,0.7972512245178223,-4.975747108459473,Easy,67.45406824146981,3.149606299212598
68,Korean-Easy,0.7899417877197266,-0.3612838387489319,Easy,67.19160104986877,42.51968503937008
667,Korean-Hard,0.7827494144439697,3.2998926639556885,Hard,66.92913385826772,91.33858267716536
47,Korean-Easy,0.7777048349380493,0.5802193284034729,Easy,66.66666666666666,60.367454068241464
39,Korean-Easy,0.7760120034217834,1.2854013442993164,Easy,66.40419947506561,71.91601049868767
186,Korean-Easy,0.770492434501648,1.1872658729553223,Easy,66.14173228346458,69.81627296587926
81,Korean-Easy,0.7675495743751526,0.8635340929031372,Easy,65.87926509186352,65.35433070866141
46,Korean-Easy,0.7622824907302856,0.3271377682685852,Easy,65.61679790026247,55.118110236220474
228,Korean-Easy,0.7172544002532959,-0.06350117921829224,Easy,65.35433070866141,49.60629921259843
83,Korean-Easy,0.7078444957733154,1.2495743036270142,Easy,65.09186351706036,71.39107611548556
694,Korean-Hard,0.707028329372406,0.6204158067703247,Hard,64.82939632545933,62.20472440944882
732,Korean-Hard,0.7013698816299438,6.9522271156311035,Hard,64.56692913385827,98.68766404199475
680,Korean-Hard,0.6785603165626526,-1.1238210201263428,Hard,64.30446194225722,29.133858267716533
148,Korean-Easy,0.6742629408836365,-1.4340548515319824,Easy,64.04199475065617,22.57217847769029
154,Korean-Easy,0.6736419200897217,-0.22416538000106812,Easy,63.77952755905512,45.93175853018373
86,Korean-Easy,0.6682755947113037,-3.133653402328491,Easy,63.51706036745407,10.761154855643044
247,Korean-Easy,0.663684070110321,4.2614030838012695,Easy,63.25459317585301,95.01312335958005
15,Korean-Easy,0.6461136341094971,0.32232365012168884,Easy,62.99212598425197,54.59317585301837
742,Korean-Hard,0.643436074256897,1.333149790763855,Hard,62.72965879265092,73.22834645669292
177,Korean-Easy,0.6387508511543274,-1.553429365158081,Easy,62.46719160104986,20.209973753280842
82,Korean-Easy,0.6347183585166931,0.31338071823120117,Easy,62.20472440944882,54.06824146981627
94,Korean-Easy,0.6182646155357361,-0.9387856125831604,Easy,61.942257217847775,33.85826771653544
208,Korean-Easy,0.6126080751419067,-0.754966676235199,Easy,61.679790026246714,35.43307086614173
217,Korean-Easy,0.6054417490959167,-0.4730190634727478,Easy,61.417322834645674,39.63254593175853
234,Korean-Easy,0.5947461128234863,3.494152545928955,Easy,61.15485564304461,92.38845144356955
713,Korean-Hard,0.5935787558555603,-7.018923282623291,Hard,60.892388451443566,0.7874015748031495
27,Korean-Easy,0.5850164294242859,-1.4876511096954346,Easy,60.629921259842526,20.99737532808399
692,Korean-Hard,0.5808421969413757,0.3614209294319153,Hard,60.367454068241464,55.643044619422575
87,Korean-Easy,0.5574248433113098,4.734447479248047,Easy,60.10498687664042,96.3254593175853
44,Korean-Easy,0.5550575852394104,-2.572401762008667,Easy,59.84251968503938,15.223097112860891
35,Korean-Easy,0.530920147895813,-4.180302619934082,Easy,59.580052493438316,6.561679790026247
90,Korean-Easy,0.5216180086135864,-0.7298060059547424,Easy,59.31758530183727,35.958005249343834
199,Korean-Easy,0.5107842087745667,0.536726176738739,Easy,59.055118110236215,58.79265091863517
693,Korean-Hard,0.5073296427726746,-1.0874555110931396,Hard,58.79265091863517,29.92125984251969
280,Korean-Easy,0.4920514225959778,-1.141580581665039,Easy,58.53018372703412,28.871391076115486
84,Korean-Easy,0.4781484603881836,-3.207334518432617,Easy,58.26771653543307,10.236220472440944
118,Korean-Easy,0.47581058740615845,-2.9400086402893066,Easy,58.00524934383202,13.123359580052494
106,Korean-Easy,0.46838223934173584,-0.9413884282112122,Easy,57.74278215223097,33.59580052493438
664,Korean-Hard,0.44164377450942993,0.49337929487228394,Hard,57.48031496062992,57.74278215223097
146,Korean-Easy,0.4370434284210205,0.46508023142814636,Easy,57.21784776902887,57.21784776902887
22,Korean-Easy,0.4218342900276184,0.9268143177032471,Easy,56.95538057742782,66.92913385826772
235,Korean-Easy,0.4166855812072754,2.846926689147949,Easy,56.69291338582677,89.501312335958
720,Korean-Hard,0.4121299982070923,3.3580193519592285,Hard,56.43044619422572,92.1259842519685
122,Korean-Easy,0.37805867195129395,-1.2583861351013184,Easy,56.16797900262467,27.034120734908136
218,Korean-Easy,0.3779008984565735,0.5065939426422119,Easy,55.90551181102362,58.00524934383202
206,Korean-Easy,0.3716237545013428,-3.2554242610931396,Easy,55.643044619422575,9.973753280839896
717,Korean-Hard,0.37123072147369385,-1.4493157863616943,Hard,55.38057742782152,21.522309711286088
223,Korean-Easy,0.3436952829360962,-0.5166833996772766,Easy,55.118110236220474,38.84514435695538
205,Korean-Easy,0.31388217210769653,-4.184488773345947,Easy,54.85564304461942,6.299212598425196
196,Korean-Easy,0.29106956720352173,7.250605583190918,Easy,54.59317585301837,99.21259842519686
31,Korean-Easy,0.23886141180992126,-0.09968775510787964,Easy,54.330708661417326,48.55643044619423
267,Korean-Easy,0.22265243530273438,-0.4696524739265442,Easy,54.06824146981627,39.89501312335958
715,Korean-Hard,0.20945864915847778,-0.10869133472442627,Hard,53.805774278215225,48.29396325459317
119,Korean-Easy,0.20200222730636597,3.05802845954895,Easy,53.54330708661418,90.28871391076116
741,Korean-Hard,0.18063706159591675,3.636664628982544,Hard,53.28083989501312,93.43832020997375
142,Korean-Easy,0.16976214945316315,-0.06438440084457397,Easy,53.018372703412076,49.08136482939632
160,Korean-Easy,0.1540185809135437,-2.8887362480163574,Easy,52.75590551181102,13.385826771653544
651,Korean-Hard,0.13904477655887604,1.9367382526397705,Hard,52.493438320209975,81.62729658792651
722,Korean-Hard,0.11797895282506943,2.3065788745880127,Hard,52.23097112860893,85.30183727034121
51,Korean-Easy,0.10786217451095581,-0.364607036113739,Easy,51.96850393700787,42.25721784776903
202,Korean-Easy,0.08936667442321777,-2.612370014190674,Easy,51.70603674540683,14.698162729658792
652,Korean-Hard,0.06939494609832764,6.736674785614014,Hard,51.44356955380578,98.16272965879264
63,Korean-Easy,0.06622540205717087,-0.6637576222419739,Easy,51.181102362204726,36.48293963254593
188,Korean-Easy,-0.024670928716659546,-0.5166171193122864,Easy,50.91863517060368,39.107611548556434
272,Korean-Easy,-0.04085162281990051,0.5771921873092651,Easy,50.65616797900262,60.10498687664042
180,Korean-Easy,-0.06511645019054413,1.3746058940887451,Easy,50.39370078740157,75.06561679790026
673,Korean-Hard,-0.07215958833694458,2.875148057937622,Hard,50.13123359580053,89.76377952755905
103,Korean-Easy,-0.10356378555297852,1.3174102306365967,Easy,49.86876640419948,72.70341207349081
220,Korean-Easy,-0.19348962604999542,4.412753582000732,Easy,49.60629921259843,95.8005249343832
216,Korean-Easy,-0.1959352344274521,-1.3776299953460693,Easy,49.343832020997375,23.097112860892388
74,Korean-Easy,-0.20795826613903046,-0.16169750690460205,Easy,49.08136482939632,46.981627296587924
37,Korean-Easy,-0.2096690684556961,-3.7781407833099365,Easy,48.818897637795274,8.398950131233596
708,Korean-Hard,-0.22774989902973175,1.205331563949585,Hard,48.55643044619423,70.86614173228347
40,Korean-Easy,-0.230754092335701,-2.572399616241455,Easy,48.29396325459317,15.485564304461944
193,Korean-Easy,-0.24525819718837738,0.5179833173751831,Easy,48.031496062992126,58.26771653543307
49,Korean-Easy,-0.24777649343013763,-6.321568012237549,Easy,47.76902887139108,1.574803149606299
34,Korean-Easy,-0.24786458909511566,1.3120741844177246,Easy,47.506561679790025,72.44094488188976
114,Korean-Easy,-0.24903248250484467,0.5193232297897339,Easy,47.24409448818898,58.53018372703412
137,Korean-Easy,-0.2499285489320755,-2.951176881790161,Easy,46.981627296587924,12.335958005249344
85,Korean-Easy,-0.25243276357650757,0.17986631393432617,Easy,46.71916010498688,51.70603674540683
66,Korean-Easy,-0.2534143328666687,-1.3759942054748535,Easy,46.45669291338583,23.35958005249344
17,Korean-Easy,-0.2559354305267334,-4.571286678314209,Easy,46.194225721784775,5.2493438320209975
219,Korean-Easy,-0.28251731395721436,-1.7796123027801514,Easy,45.93175853018373,19.68503937007874
663,Korean-Hard,-0.28272467851638794,1.5905423164367676,Hard,45.66929133858268,79.00262467191601
728,Korean-Hard,-0.3075241446495056,-0.14077013731002808,Hard,45.40682414698163,47.506561679790025
244,Korean-Easy,-0.3231266736984253,1.4892586469650269,Easy,45.14435695538058,76.9028871391076
128,Korean-Easy,-0.33091169595718384,-1.3630003929138184,Easy,44.881889763779526,24.93438320209974
676,Korean-Hard,-0.3316294550895691,1.3705620765686035,Hard,44.61942257217848,74.80314960629921
687,Korean-Hard,-0.3362728953361511,2.332899570465088,Hard,44.35695538057743,86.08923884514435
201,Korean-Easy,-0.3442199230194092,0.7738840579986572,Easy,44.09448818897638,64.30446194225722
171,Korean-Easy,-0.3657529354095459,-2.6011199951171875,Easy,43.832020997375324,14.960629921259844
230,Korean-Easy,-0.3747878074645996,-0.4150490164756775,Easy,43.569553805774284,40.94488188976378
238,Korean-Easy,-0.3810490369796753,-0.6100355982780457,Easy,43.30708661417323,37.270341207349084
207,Korean-Easy,-0.38657838106155396,0.3186933398246765,Easy,43.044619422572175,54.330708661417326
724,Korean-Hard,-0.42077547311782837,1.1904194355010986,Hard,42.78215223097113,70.07874015748031
743,Korean-Hard,-0.4240134358406067,0.8644404411315918,Hard,42.51968503937008,65.61679790026247
141,Korean-Easy,-0.5084756016731262,0.2495158314704895,Easy,42.25721784776903,53.018372703412076
173,Korean-Easy,-0.5110956430435181,-0.036645352840423584,Easy,41.99475065616798,50.13123359580053
24,Korean-Easy,-0.5280373692512512,0.5841652750968933,Easy,41.732283464566926,60.892388451443566
265,Korean-Easy,-0.5791985392570496,1.0126163959503174,Easy,41.46981627296588,68.24146981627297
744,Korean-Hard,-0.591781735420227,0.5738157033920288,Hard,41.20734908136483,59.055118110236215
246,Korean-Easy,-0.6102267503738403,-2.9446463584899902,Easy,40.94488188976378,12.598425196850393
683,Korean-Hard,-0.623857319355011,2.687113046646118,Hard,40.68241469816273,88.71391076115486
102,Korean-Easy,-0.6300351023674011,-3.0736136436462402,Easy,40.419947506561684,11.548556430446194
277,Korean-Easy,-0.6481763124465942,0.5765796899795532,Easy,40.15748031496063,59.580052493438316
64,Korean-Easy,-0.6662136912345886,-1.4950597286224365,Easy,39.89501312335958,20.73490813648294
71,Korean-Easy,-0.6734576225280762,1.2032668590545654,Easy,39.63254593175853,70.60367454068242
